soc_id,var_id,code,pref_name_for_society,title,category,description,name,climate_id,climate_code,climate_title
Aa1,EA202,3500,!Kung,Population size,Population,NA,NA,AnnualMeanTemperature,21.03514971,Mean value of monthly temperature across the year
Aa2,EA202,1100,Dorobo,Population size,Population,NA,NA,AnnualMeanTemperature,19.01419744,Mean value of monthly temperature across the year
Aa3,EA202,2500,Nama,Population size,Population,NA,NA,AnnualMeanTemperature,20.43585493,Mean value of monthly temperature across the year
Aa4,EA202,29000,Bergdama,Population size,Population,NA,NA,AnnualMeanTemperature,22.66307586,Mean value of monthly temperature across the year
Aa5,EA202,40000,Mbuti,Population size,Population,NA,NA,AnnualMeanTemperature,21.41779959,Mean value of monthly temperature across the year
Aa6,EA202,23400,Sandawe,Population size,Population,NA,NA,AnnualMeanTemperature,18.1173012,Mean value of monthly temperature across the year
Aa7,EA202,300,Naron,Population size,Population,NA,NA,AnnualMeanTemperature,21.93601527,Mean value of monthly temperature across the year
Aa8,EA202,NA,/Xam,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,15.6037793,Mean value of monthly temperature across the year
Aa9,EA202,600,Hadza,Population size,Population,NA,NA,AnnualMeanTemperature,19.36364443,Mean value of monthly temperature across the year
Ab1,EA202,1e+05,Herero,Population size,Population,NA,NA,AnnualMeanTemperature,21.9947192,Mean value of monthly temperature across the year
Ab10,EA202,260000,Pondo Xhosa,Population size,Population,NA,NA,AnnualMeanTemperature,19.17895521,Mean value of monthly temperature across the year
Ab11,EA202,NA,Xhosa Ngqika,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,17.09562177,Mean value of monthly temperature across the year
Ab12,EA202,250000,Zulu,Population size,Population,NA,NA,AnnualMeanTemperature,16.45028857,Mean value of monthly temperature across the year
Ab13,EA202,580000,Tswana,Population size,Population,NA,NA,AnnualMeanTemperature,18.42354332,Mean value of monthly temperature across the year
Ab14,EA202,40000,Lovedu,Population size,Population,NA,NA,AnnualMeanTemperature,17.61973153,Mean value of monthly temperature across the year
Ab15,EA202,1e+05,Pedi,Population size,Population,NA,NA,AnnualMeanTemperature,14.54028018,Mean value of monthly temperature across the year
